affiliate_fct_normdata_id,affiliate_fct_normdata,affiliate_fct_id,affiliate_fct,affiliate_fct_occurrence,affiliate_fct
48722,http://d-nb.info/gnd/174820283,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
48722,http://d-nb.info/gnd/174820283,132619,"Beisiegel, Ulrike",5,"Beisiegel, Ulrike"
49062,http://d-nb.info/gnd/108322726,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
49062,http://d-nb.info/gnd/108322726,133552,"Thiem, Joachim",5,"Thiem, Joachim"
52037,http://d-nb.info/gnd/111645352,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
52037,http://d-nb.info/gnd/111645352,141825,"Hess, Markus",5,"Hess, Markus"
60023,http://d-nb.info/gnd/1020443723,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
60023,http://d-nb.info/gnd/1020443723,164885,"Bockhorn, Maximilian",5,"Bockhorn, Maximilian"
60134,http://d-nb.info/gnd/17470478X,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
60134,http://d-nb.info/gnd/17470478X,165232,"Richter-Appelt, Hertha",5,"Richter-Appelt, Hertha"
112506,http://d-nb.info/gnd/121299538,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
112506,http://d-nb.info/gnd/121299538,314801,"Luinstra, Gerrit A.",5,"Luinstra, Gerrit A."
116245,http://d-nb.info/gnd/109224205,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
116245,http://d-nb.info/gnd/109224205,325700,"Duchstein, Hans-Jürgen",5,"Duchstein, Hans-Jürgen"
165091,http://d-nb.info/gnd/110114922,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
165091,http://d-nb.info/gnd/110114922,468689,"Heck, Jürgen",5,"Heck, Jürgen"
329291,http://d-nb.info/gnd/153213345,7819,"Staats- und Universitätsbibliothek Hamburg",5,"Staats- und Universitätsbibliothek Hamburg"
329291,http://d-nb.info/gnd/153213345,628250,"Schiffner, Ulrich",5,"Schiffner, Ulrich"
4983,http://d-nb.info/gnd/113746741,7819,"Staats- und Universitätsbibliothek Hamburg",4,"Staats- und Universitätsbibliothek Hamburg"
4983,http://d-nb.info/gnd/113746741,13855,"Bender, Roland",4,"Bender, Roland"
