current_facet_id,facet_id,c,value
1,328,26,Bauwesen
1,319,51,Musik
1,450,1595,Stadt
1,77,699,Sport
1,126,205,Kirche
1,635,18,Mühle
1,568,1,Druckgraphik
1,215,14,Chemie
1,91,64,Möbel
1,236,6558,Print
1,203,28,Text
1,738,130,Sakralraumskulptur
1,858,44,Handschrift
1,45,935,Landwirtschaft
1,112,636,Buchkunst
1,380,856,Natur
1,1030,6,Karte
1,114,238,Straße
1,271,7958,Geografie
1,174,1,Wohnen
1,327,187,Wohn- und Geschäftshaus
1,68,82,Oper
1,386,1,Verkehrswesen
1,110,1,Bildfeld
1,204,18,Sonstiges
1,315,1286,Tiere
1,415,146,Zeichnung / Grafik
1,867,5625,Musik-Katalog
1,187,77,Bauernhof
1,413,295,Grabmal
1,1277,2,Buch
1,322,45,Ort
1,1482,82,Deutschland
1,761,133,Schloss
1,523,4586,Messen
1,424,1904,Künstler
1,283,7,Gesundheitswesen
1,211,3,Grundriss
1,1175,54,Buchseite
1,605,19,Militär
1,949,24,Kirche (evangelisch)
1,116,19,Altarskulptur
1,1368,441,Photographie
1,377,78,Gemälde
1,622,59,Statuette
1,412,109,Denkmalskulptur
1,267,45,Keramik
1,40,156,Handwerk
1,1283,1087,Varia
1,1027,308,Denkmal
1,1167,5,Sonstiges &
1,1540,44,Altar
1,606,12,Plan
1,288,39,Entwurf
1,167,7,Portal
1,238,2023,Porträt
1,417,57,Kunsthandwerk
1,980,7,Gesundheit und Soziales
1,437,113,Rathaus
1,224,1,Miniatur
1,587,83,Kirche (katholisch)
1,296,214,Brunnen
1,575,1353,Ausstellung
1,1046,65,Literatur
1,474,65,Landkarte
1,2093,71,Burg
1,372,2,Glasmalerei
1,1377,1884,Ausstellungen
1,2794,21,Haar- und Bartpflege
1,287,1218,Landschaft
1,191,1,Urkunde
1,1039,1334,Kultur
1,905,23,Rückseite
1,1565,197,Villa
1,479,158,Schule
1,268,24,Gruppe (2-figurig)
1,151,11,Zeichnung / Skizze
1,198,1,Kommunales
1,583,2412,Weltfestspiele der Jugend und Studenten
1,1909,2331,Landschaften
1,230,2365,Veranstaltungen
1,3133,9,Ansicht
1,476,2360,Arbeiterfotografie
1,421,95,Kunst
1,831,894,Theater
1,571,38,Büste
1,362,4,Zyklus
1,992,55,Textilkunst
1,3462,8,Sonstige
1,329,201,Platz
1,1566,1,Miniatur (in der Kolumne)
1,311,43,Freizeit
1,758,20,Portalskulptur
1,194,346,Schriftkunst
1,1140,89,Bergbau
1,1173,13,Bauernhaus
1,925,1,Galerie Neue Meister
1,2022,24,Medizin
1,175,24,Technik
1,932,1953,politische Veranstaltungen
1,452,2,Goldschmiedekunst
1,1672,20,Sitzfigur
1,173,1,Epitaph
1,967,289,Alltag
1,96,16,Gasthaus
1,1736,19,Bildwerke / Bildende Kunst
1,108,62,Brücke
1,649,42,Kapelle
1,55,1504,Schauspiel
1,757,51,Kopf
1,854,1,Brief
1,985,38,Schloß
1,599,1659,Pressefotografie
1,676,2,Lastkraftwagen
1,8,989,Stenografie
1,1831,58,Gruppe
1,199,9,Gemäldegalerie Alte Meister
1,561,5,Kruzifix
1,1219,9,Stadtplan
1,221,4,Statistik
1,580,45,Vase
1,2048,1384,Bauwerk
1,1393,3,Schmiedekunst
1,3806,33,Turm
1,379,13,Kanzel
