"id","name","count"
1677,"Hamburgensien: Darstellungen und Nachschlagewerke",1010
5104,"Gaststätte",1009
1023,"Tondokument ohne Titel",994
472,"Biographie",985
446,"Dissertation:theol.",983
703,"Altstadt",983
486,"940 - Geschichte Europas",969
1635,"Kanne",964
1875,"Scheune",964
993,"Kriegswirtschaftsverordnung",960
475,"Amtsdruckschrift / Gesetzessammlung / Verordnung / Vertrag / Gesetz / Edikt",958
2906,"Hamburgensien: Zeitschriften",955
2907,"050 - Zeitschriften, fortlaufende Sammelwerke",941
385,"Arbeit",940
733,"Kirchen",940
5776,"Straßenbaumaschine",939
628,"Kinder",936
1479,"vorbereitende Zeichnung",936
968,"Taufstein",931
936,"Innenstadt",929
1014,"Sarkophag",925
357,"Dresden",922
2463,"Marktplatz",921
1053,"Aktfotografie",917
467,"Akte",914
624,"Großherzoglich Sächsische Kunstschule zu Weimar 1860-1910",911
1621,"Erster Mai",902
3620,"elektronisch",902
3911,"Österreich",900
4104,"Bibliografien",899
3339,"Konsolfigur",898
931,"DDR",884
231,"Arbeitende",881
2324,"Waffe",880
886,"Bremse",875
2716,"Traktat",871
687,"Religion, Religionsphilosophie",868
500,"Grafische Verfahren, Drucke",864
435,"Modell",863
1616,"Deutsches Filminstitut - DIF e.V.",863
1201,"Museum für Sächsische Volkskunst mit Puppentheatersammlung",860
1192,"Palais",856
5933,"Leuchter",855
44,"Möbelmessen",854
4303,"Tor",853
1934,"Flugschrift",851
1108,"Schulbuch",849
2258,"GöttingerUniversitätsgeschichte-GedruckteWerke",847
7,"Medaille",846
712,"Wohnen; Wohnhaus",840
1567,"Kartenwerk",838
121,"Gemeinderechnungen, Beilagen",836
1454,"Landschaftsgestaltung, Raumplanung",835
1116,"Gelegenheitsschrift:Einladung",832
521,"Geographieschulbuecher Kaiserreich",831
182,"Kriegszerstörte Stadt",826
1271,"Kleinskulptur",826
927,"Tür",817
1674,"Krankenhaus",817
454,"Druckerzeugnis",816
872,"Krug",815
1450,"Kriege",811
1493,"Querschnitt",808
861,"Gartenskulptur",804
2167,"Kosmetika",800
4629,"Palast",799
310,"Natürliche Ressourcen, Energie und Umwelt",797
1800,"Inschrift",793
772,"Profanarchitektur",783
686,"Reliquiar",779
2090,"Bräuche, Etikette, Folklore",778
3121,"stuckiert",778
1397,"Glasgefäß",775
913,"Decke",774
678,"Schlösser",771
765,"Handel",771
487,"Sekkomalerei",769
4395,"Teller",767
562,"Geldwesen",766
620,"Theater, Tanz",766
2074,"Schienenfahrzeug",764
99,"sh2008113365",763
5300,"Friedhof",763
1987,"Sakralbau",760
963,"Geographie",759
1824,"Militärarchitektur",758
3125,"Gabelstapler",752
1903,"Nordamericana",750
2925,"Ortsansicht",750
1037,"Rundplastik (Rückseite ausgearbeitet)",748
313,"Kleintransporter",742
501,"Fotografie, Computerkunst",741
331,"Münze",735
3017,"Park",735
1055,"Festveranstaltungen",734
714,"sh85148236",732
6962,"Bibliothek",732
704,"Kreuzgang",729
1123,"Portfolio-Pöppelmann-Zwinger",729
5100,"Organisationen, Museumswissenschaft",728
6464,"Elektrotechnik, Elektronik",727
4145,"Freie Deutsche Jugend",723
827,"Miniatur (halbseitig)",722
1124,"Festarchitektur",718
135,"Oberbaumaschine",715
2233,"Schiffe",715
3174,"Territorium",714
86,"theologischer Text",712
465,"Bibliotheken",711
1206,"Stuhl",711
1294,"Bleistift, Feder",711
4273,"Saal",711
2013,"Schüler",710
1581,"Berufsausbildung",707
1129,"Landesaufnahme",705
795,"Festung",699
1675,"Bahnhof",695
1220,"Rechtswissenschaft",694
1269,"Dom",691
3569,"Häuserzeile",690
900,"Korrespondenz",689
1503,"Schulen",688
2397,"Roman",688
355,"Kran",687
1385,"Wissenschaftsgeschichte",687
376,"Gemäldesammlung",686
3828,"Wandteppich",686
3944,"Streitschrift:theol.",684
756,"Sitzgruppen",683
1222,"Sowjetunion",683
237,"Pfarrhaus",682
2501,"Herrenhaus",680
375,"Streitschrift:jur.",679
2936,"Antike",679
2281,"Hochschulschrift",678
3753,"Feder",678
8172,"Zierobjekte",677
584,"Tempel",676
5548,"Pläne",674
663,"Bauverwaltung",673
2703,"Container",673
1720,"Griechenland <Altertum>",672
113,"Einband",671
356,"Altarflügel (Innenseite)",671
1188,"Sibirica",670
473,"Wirtschaftsgebäude",666
508,"Partei: CDU",666
1246,"vergoldet",666
3126,"Predigt",665
798,"Innendekoration",663
3490,"Geschäftshaus",662
745,"Palazzo",658
