"id","value"
316,"Pseudomonas cepacia"
317,"Biofilm"
318,"Gen"
319,"Musik"
320,"Physik"
321,"Präsente"
322,"Ort"
323,"Strafprozessakten"
324,"Cinnabarit"
325,"Gesellschaftskritik"
326,"Leichenhaus, Planentwurf"
327,"Wohn- und Geschäftshaus"
328,"Bauwesen"
329,"Platz"
330,"Gelegenheitsschrift: Einladung"
331,"Münze"
332,"Württembergische Kunstkammer; Behältnisse"
333,"Württembergische Kunstkammer; Besteck"
334,"Württembergische Kunstkammer; Edles Metall"
335,"Württembergische Kunstkammer; Gemälde, Grafiken, Handschriften"
336,"Württembergische Kunstkammer; Gemmen, Kameen, geschliffene Steine"
337,"Württembergische Kunstkammer; Geschirr"
338,"Württembergische Kunstkammer; Holz"
339,"Württembergische Kunstkammer; Keramik, Gips"
340,"Württembergische Kunstkammer; Kristall"
341,"Württembergische Kunstkammer; Möbel"
342,"Württembergische Kunstkammer; Perlen, Perlmutt, Korallen"
343,"Württembergische Kunstkammer; Religiöses"
344,"Württembergische Kunstkammer; Rest-Organik"
345,"Württembergische Kunstkammer; Schmuck, Accessoires, Bekleidung"
346,"Württembergische Kunstkammer; Stein, Edelstein"
347,"Württembergische Kunstkammer; Textilien"
348,"Württembergische Kunstkammer; Uhren, Wissenschaftliche Instrumente"
349,"Württembergische Kunstkammer; Unedles Metall"
350,"Württembergische Kunstkammer; Zierstücke, Schaustücke"
351,"Beschwerde"
352,"Fronen"
353,"Kapitell"
354,"Bäcker- u. Cafe'Wirt"
355,"Kran"
356,"Altarflügel (Innenseite)"
357,"Dresden"
358,"Bärte"
359,"Kraus, Joseph Martin (1756-1792)"
360,"Sakralraumskulptur?"
361,"Rundplastik"
362,"Zyklus"
363,"Mathematik"
364,"Liebeshof"
365,"Anstrichstoff"
366,"Kaiserreich Geschichtsschulbuecher"
367,"Gentherapie"
368,"Dependoviren"
369,"Typ 2"
370,"Vektor <Genetik>"
371,"Fliegende Blätter"
372,"Glasmalerei"
373,"Fenster"
374,"Landwirt"
375,"Streitschrift:jur."
376,"Gemäldesammlung"
377,"Gemälde"
378,"Reliefplastik"
379,"Kanzel"
380,"Natur"
381,"Rad, Radsatz"
382,"Kemenate"
383,"Fernmeldetechnik"
384,"Tasche"
385,"Arbeit"
386,"Verkehrswesen"
387,"Kanne (Zinnkanne)"
388,"Trink- und Schankgeschirr"
389,"Kirchenausstattung"
390,"Topografie"
391,"Kartenforum"
392,"Währungsreform"
393,"Messe"
394,"Dolomit"
395,"Dolomite"
396,"Jamesonite"
397,"Sphalerit"
398,"Sphalerite"
399,"Jamesonit"
400,"Jamesonit mit Sphalerit (Zinkblende) und Dolomit"
401,"liturgischer Text"
402,"historisierte Initiale"
403,"Akten"
404,"Landvogteien s. Heilbronn, Ellwangen, Rottweil"
405,"Wohnen, Garten, Park, Freiraum"
406,"Krankheit: BSE"
407,"Partei: CDU: BSE"
408,"Partei: Grüne: BSE"
409,"Partei: SPD: BSE"
410,"Landwirtschaft, Forstwirtschaft, Sport, Freizeit, Wohnen"
411,"Truhe"
412,"Denkmalskulptur"
413,"Grabmal"
414,"Realismus"
415,"Zeichnung / Grafik"
416,"Gärtnerei"
417,"Kunsthandwerk"
418,"Arbeiten auf Papier"
419,"Geschichte 1500-1930"
420,"Ostasien"
421,"Kunst"
422,"Auktionskatalog"
423,"Berlin <1934>"
424,"Künstler"
425,"Buchhandlungen; Henne, Friedrich (Stuttgart)"
426,"Druckereien; Henne, Friedrich (Stuttgart)"
427,"Management"
428,"Ackerbauschulen; Ausbildungshilfe"
429,"Gartenbauschulen; Ausbildungshilfe"
430,"Landbauschulen; Ausbildungshilfe"
431,"Landfrauenschulen; Ausbildungshilfe"
432,"biblischer Text"
433,"Tierfotografie"
434,"automatisch"
435,"Modell"
436,"Prinz Eugenins, der edle Ritter, wollt dem Kaiser wiederum Kriegen ..."
437,"Rathaus"
438,"Versuchsapparatur"
439,"Französische Literatur"
440,"Italienische, rumänische, rätoromanische Literatur"
441,"Spanische und portugiesische Literatur"
442,"Italien"
443,"Wissenschaftliche Literatur"
444,"Rezension"
445,"Geschichte 1774-1790"
446,"Dissertation:theol."
447,"Fortlaufendes Sammelwerk"
448,"Schnitt"
449,"Wohn- und Wirtschaftsgebäude"
450,"Stadt"
451,"Straßenverkehr; Tempo 30"
452,"Goldschmiedekunst"
453,"Humpen"
454,"Druckerzeugnis"
455,"Einblattdruck"
456,"Prospekte"
457,"Marmor"
458,"Gesteinskunde"
459,"Geochemie"
460,"Herkunftsnachweis"
461,"Lagerstätte"
462,"Multivariate Analyse"
463,"Artefakt"
464,"Archäometrie"
465,"Bibliotheken"
466,"Grupppenplastik"
467,"Akte"
468,"Jugendmusikschule"
469,"Liechtenstein"
470,"Arzt"
471,"Geschichte 1880-1900"
472,"Biographie"
473,"Wirtschaftsgebäude"
474,"Landkarte"
475,"Amtsdruckschrift / Gesetzessammlung / Verordnung / Vertrag / Gesetz / Edikt"
476,"Arbeiterfotografie"
477,"Dirigenten"
478,"Mensch-Tier-Gruppe (2-figurig)"
479,"Schule"
480,"Unterrichtsmittel"
481,"Schautafel Biologie (Biologisch technologische Sammlungen)"
482,"Hochaltar"
483,"Hamburgensien: Karten"
484,"Hamburg in historischen Karten und Ansichten"
485,"Karte, Plan"
486,"940 - Geschichte Europas"
487,"Sekkomalerei"
488,"Säulenbasis"
489,"Phosphorit-Knollen"
490,"Sudetendeutsche"
491,"Produktionsmaterial"
492,"Alpengipfel"
493,"Krankenbehandlung"
494,"Lazarettorganisation"
495,"Lazarettpersonal"
496,"Versorgung,medizinische"
497,"Feste"
498,"historisierte Initiale (9-zeilig)"
