"timeId","keywordId","count"
5,479,253
5,437,235
5,905,235
5,521,234
5,1027,227
5,1730,223
5,184,215
5,6958,212
5,267,209
5,580,207
5,153,205
5,105,197
5,447,196
5,73,193
5,417,191
5,4108,190
5,187,188
5,16,188
5,2251,187
5,1987,184
5,1294,182
5,412,180
5,296,178
5,1528,178
5,323,177
5,598,177
5,712,175
5,1456,175
5,377,173
5,4566,171
5,624,169
5,910,167
5,4534,159
5,667,155
5,949,147
5,1129,146
5,76,144
6,9,30975
6,4,18856
6,19,18721
6,30,17571
6,1,6941
6,2,5927
6,10,5508
6,24,4937
6,14,4441
6,66,4134
6,98,3524
6,82,2754
6,166,2623
6,157,2584
6,179,1972
6,51,1683
6,36,1384
6,67,1325
6,50,1311
6,15,1213
6,27,1205
6,236,1203
6,172,1130
6,391,1128
6,21,1052
6,28,969
6,132,928
6,35,906
6,6,893
6,68,877
6,23,877
6,99,761
6,390,751
6,714,724
6,174,716
6,323,708
6,239,677
6,412,617
6,151,544
6,606,528
6,5829,523
6,568,514
6,1027,507
6,2345,474
6,2346,472
6,178,470
6,859,458
6,8172,394
6,366,382
6,413,330
6,148,325
6,422,315
6,663,312
6,480,310
6,851,302
6,52,301
6,105,289
6,3744,273
6,11323,272
6,882,257
6,312,254
6,1730,253
6,3850,250
6,327,246
6,905,244
6,111,239
6,495,238
6,3431,238
6,3432,235
6,7022,235
6,494,232
6,145,228
6,521,227
6,496,226
6,1444,225
6,1528,219
6,5899,210
6,493,208
6,1456,207
6,447,206
6,8826,204
6,1565,201
6,7638,196
6,3468,194
6,2910,190
6,667,184
6,1915,183
6,70,182
6,153,176
6,1261,172
6,184,170
6,73,168
6,627,159
6,5035,156
6,16,154
6,126,151
6,211,150
6,76,149
6,3753,148
6,4459,141
7,4,101004
7,1,47243
7,2,46201
7,11,39626
7,9,34301
7,3,13146
7,72,13022
7,155,4197
7,10,4109
7,24,3866
7,66,3271
7,17,3075
7,323,2822
7,28,2756
7,19,2715
7,192,2704
7,132,2570
7,133,2516
7,328,2493
7,27,2363
7,82,2352
7,166,2323
7,236,1960
7,102,1931
7,157,1926
7,38,1881
7,932,1694
7,77,1436
7,980,1371
7,60,1365
7,414,1340
7,283,1253
7,21,1213
7,30,1165
7,15,1062
7,31,973
7,993,948
7,51,942
7,146,934
7,415,881
7,50,861
7,1915,853
7,480,791
7,204,789
7,45,768
7,1909,736
7,178,734
7,386,714
7,450,713
7,422,688
7,230,652
7,377,648
7,1249,639
7,238,635
7,1450,612
7,182,609
7,52,590
7,6,584
7,1143,575
7,67,535
7,424,530
7,417,523
7,23,514
7,391,510
7,1368,508
7,831,498
7,4145,489
7,380,470
7,1377,469
7,390,445
7,1055,431
7,2354,428
7,1290,420
7,418,410
7,994,404
7,6687,398
7,184,398
7,4239,387
7,40,374
7,628,370
7,1167,363
7,315,340
7,1503,335
7,651,332
7,2794,328
7,231,317
7,4506,314
7,1275,311
7,1140,310
7,678,298
7,2662,297
7,733,280
7,311,280
7,111,274
7,145,272
7,975,270
7,412,268
7,1621,266
7,2053,261
7,8449,261
8,21,186928
8,4,78214
8,25,71282
8,2,69601
8,1,62759
8,22,53797
8,62,23655
8,166,17572
8,235,14148
8,115,12059
8,320,10604
8,253,9337
8,215,9048
8,271,7955
8,522,7271
8,31,7185
8,263,7023
8,178,5389
8,363,4311
8,1673,4008
8,168,3622
8,262,3476
8,152,3284
8,427,3199
8,18,2860
8,315,2787
8,1004,2759
8,39,2713
8,511,2603
8,1542,2251
8,499,2178
8,314,2065
8,118,2032
8,12,1856
8,72,1773
8,3537,1747
8,179,1667
8,676,1614
8,319,1603
8,447,1467
8,930,1440
8,1359,1436
8,1018,1403
8,2320,1338
8,196,1329
8,2048,1327
8,566,1297
8,26,1292
8,10,1240
8,1615,1235
8,287,1178
8,632,1158
8,246,1132
8,1529,1084
8,307,1035
8,184,966
8,5776,939
8,703,938
8,132,931
8,51,926
8,936,923
8,780,912
8,50,905
8,3620,902
8,1771,884
8,886,874
8,380,861
8,123,825
8,1482,797
8,1454,783
8,310,774
8,1814,768
8,2074,763
8,52,758
8,3125,749
8,313,742
8,454,734
8,1212,725
8,6464,717
8,82,716
8,135,715
8,421,704
8,1581,694
8,2703,670
8,355,654
8,2058,647
8,2355,637
8,2483,636
8,2604,628
8,977,624
8,1377,624
8,1616,609
8,6418,606
8,3120,598
8,2651,597
8,465,584
8,830,581
8,2981,581
8,1630,576
8,500,575
9,21,45446
9,22,14140
9,4,13922
9,2,12866
9,1,12853
9,166,4674
9,115,3456
9,235,3167
9,271,3001
9,320,2304
9,253,2245
9,215,1863
9,522,1756
9,263,1469
9,178,1420
9,447,1363
9,307,996
9,427,987
9,363,927
9,287,903
9,39,828
9,262,770
9,168,740
9,380,725
9,152,666
9,72,662
9,31,661
9,511,610
9,1615,573
9,2320,570
9,6464,542
9,703,505
9,123,496
9,1542,459
9,310,457
9,12,439
9,319,407
9,936,403
9,962,338
9,1616,333
9,18,328
9,859,328
9,2241,318
9,2048,315
9,179,306
9,1454,286
9,315,286
9,30,281
9,499,278
9,11,269
9,1212,258
9,4878,258
9,196,246
9,10,235
9,82,224
9,6541,220
9,7049,215
9,780,214
9,170,205
9,221,204
9,112,202
9,169,187
9,145,181
9,184,174
9,1482,171
9,830,165
9,977,162
9,1174,152
9,63,146
9,2441,145
9,111,134
9,8045,133
9,132,132
9,3950,131
9,188,125
9,314,123
9,1460,120
9,29936,117
9,51,117
9,58,115
9,530,111
9,4225,105
9,421,97
9,6280,95
9,175,92
9,77,90
9,105,90
9,1834,89
9,1044,88
9,569,88
9,74,87
9,17491,87
9,22463,86
9,5045,85
9,974,82
9,8269,81
9,1027,79
9,2391,78
9,12700,77
9,186,76
10,4,11975
10,10,8731
10,66,6791
10,30,5358
10,58,4231
10,12,4149
10,186,3865
10,14,3729
10,262,3644
10,24,3300
10,201,3185
10,184,2936
10,179,2465
10,72,2400
10,36,2339
10,22,2259
10,82,2154
10,530,2152
10,51,2007
10,529,2002
10,21,1844
10,50,1788
10,185,1612
10,1,1535
10,15,1501
10,9,1442
10,188,1438
10,239,1388
10,111,1374
10,27,1343
10,172,1245
10,157,1231
10,145,1184
10,6,1177
10,391,1141
10,23,1114
10,178,960
10,962,952
10,169,952
10,170,942
10,28,931
10,95,930
10,2,885
10,132,847
10,974,796
10,263,765
10,1044,723
10,415,720
10,264,707
10,187,683
10,59,657
10,1174,652
10,94,638
10,130,634
10,3133,619
10,196,591
10,2349,569
10,1834,549
10,586,542
10,1414,528
10,568,511
10,1028,502
10,327,475
10,105,455
10,439,444
10,440,444
10,441,444
10,1482,440
10,152,439
10,1542,438
10,1874,424
10,215,424
10,80,415
10,2640,413
10,1528,412
10,3122,405
10,168,398
10,319,380
10,110,376
10,115,376
10,175,376
10,174,353
10,585,346
10,1777,345
10,52,320
