timeId,name,keywordId,count
6,Mehrbändiges Werk,859,458
6,Zierobjekte,8172,394
6,Kaiserreich Geschichtsschulbuecher,366,382
6,Grabmal,413,330
6,Bleistift,148,325
6,Auktionskatalog,422,315
6,Bauverwaltung,663,312
6,Unterrichtsmittel,480,310
6,Lied,851,302
6,Technik-Katalog,52,301
6,mehrbändiges Werk,105,289
6,photograph,3744,273
6,null,11323,272
6,Fotografie (Digitalisat),882,257
6,Vorderseite,312,254
6,Archivalien,1730,253
6,Kriegerdenkmal,3850,250
6,Wohn- und Geschäftshaus,327,246
6,Rückseite,905,244
6,Wandmalerei,111,239
6,Lazarettpersonal,495,238
6,sermon,3431,238
6,sh2010119502,3432,235
6,poem,7022,235
6,Lazarettorganisation,494,232
6,Wandbild,145,228
6,Geographieschulbuecher Kaiserreich,521,227
6,"Versorgung,medizinische",496,226
6,Ansichtskarte,1444,225
6,Mathematica,1528,219
6,leaf,5899,210
6,Krankenbehandlung,493,208
6,Sammlung,1456,207
6,Fortlaufendes Sammelwerk,447,206
6,Artikel,8826,204
6,Villa,1565,201
6,Bild- und Schriftkarten,7638,196
6,Arie,3468,194
6,sh85148261,2910,190
6,Kaserne,667,184
6,Skizzenbuchblatt,1915,183
6,Erster Weltkrieg,70,182
6,Bauskulptur,153,176
6,Postkarte,1261,172
6,Geschichte,184,170
6,Relief,73,168
6,Staatliche Hochschule für Baukunst und Bildende Künste Weimar 1946-1951,627,159
6,Karten,5035,156
6,Statue,16,154
6,Kirche,126,151
6,Grundriss,211,150
6,Wasserversorgung,76,149
6,Feder,3753,148
6,"Schmidt, Johann Friedrich (1894-1965)",4459,141
7,Fotos,4,101004
7,Fotografie,1,47243
7,Foto,2,46201
7,Kontaktbogen,11,39626
7,Personalakten,9,34301
7,Szenenbilder,3,13146
7,Politik,72,13022
7,Gesellschaft,155,4197
7,Architektur,10,4109
7,Bild,24,3866
7,Ortskatalog zur Kunst und Architektur,66,3271
7,Kunst und Kultur,17,3075
7,Strafprozessakten,323,2822
7,Zeichnung,28,2756
7,Spruchkammerakten,19,2715
7,Bildung und Wissenschaft,192,2704
7,Malerei,132,2570
7,Bildnisse,133,2516
7,Bauwesen,328,2493
7,Zeichenkunst,27,2363
7,Karten und Pläne,82,2352
7,Standfoto,166,2323
7,Print,236,1960
7,Bildnis-Katalog,102,1931
7,Nachlässe,157,1926
7,Industrie,38,1881
7,politische Veranstaltungen,932,1694
7,Sport,77,1436
7,Gesundheit und Soziales,980,1371
7,Bildnis,60,1365
7,Realismus,414,1340
7,Gesundheitswesen,283,1253
7,Monografie,21,1213
7,Amtsbücher,30,1165
7,Skulptur,15,1062
7,AV-Materialien,31,973
7,Kriegswirtschaftsverordnung,993,948
7,Druck,51,942
7,Handel und Wirtschaft,146,934
7,Zeichnung / Grafik,415,881
7,Druckgrafik,50,861
7,Skizzenbuchblatt,1915,853
7,Unterrichtsmittel,480,791
7,Sonstiges,204,789
7,Landwirtschaft,45,768
7,Landschaften,1909,736
7,Online-Publikation,178,734
7,Verkehrswesen,386,714
7,Stadt,450,713
7,Auktionskatalog,422,688
7,Veranstaltungen,230,652
7,Gemälde,377,648
7,Musizierende,1249,639
7,Porträt,238,635
7,Kriege,1450,612
7,Kriegszerstörte Stadt,182,609
7,Technik-Katalog,52,590
7,Kunstgewerbe,6,584
7,Demonstrationen,1143,575
7,Schellackplatte,67,535
7,Künstler,424,530
7,Kunsthandwerk,417,523
7,Tafelmalerei,23,514
7,Kartenforum,391,510
7,Photographie,1368,508
7,Theater,831,498
7,Freie Deutsche Jugend,4145,489
7,Natur,380,470
7,Ausstellungen,1377,469
7,Topografie,390,445
