timeId,name,affiliateId,count
4,"Pohl, Erich (Fotograf)",5,259816
4,Willy Pragher,27,80064
4,"Pisarek, Abraham (Fotograf)",1,51177
4,"Rössing, Renate (Fotograf)",201,36086
4,"Rössing, Roger (Fotograf)",200,36072
4,Messbildstelle Dresden (Fotograf),195,19665
4,"Weimer, Friedrich (Fotograf)",44,15460
4,"Borchert, Christian (Fotograf)",1148,10672
4,"Jäckel, Hildegard (Fotograf)",447,10072
4,"Nosko, Eugen (Fotograf)",193,9771
4,"Peter, Richard jun. (Fotograf)",2297,8843
4,"Eschen, Fritz (Fotograf)",188,8521
4,"Rapp, Günter (Fotograf)",525,8276
4,"Peter, Richard sen. (Fotograf)",407,8125
4,Unbekannter Fotograf (Fotograf),585,7400
4,Preußische Regierung Sigmaringen,326,7109
4,SDR 1,429,6603
4,"Schumacher, Klaus-Dieter (Fotograf)",32,6511
4,Bundesbahndirektion Karlsruhe,205,6372
4,"Morgenstern, Klaus (Fotograf)",54,6325
4,"Grasser, Franz (Fotograf)",1000,5465
4,Landratsamt Buchen,29,5325
4,Marlis Decker,364,5165
4,Technoseum,755,5022
4,Saarländisches Schulmuseum Ottweiler,835,4250
4,"Hildebrand, Gustav (Fotograf)",58,4063
4,Frisörmuseum,4314,3917
4,"Lübeck, Oswald (Fotograf)",974,3789
4,"Aufsberg, Lala (Fotograf)",537,3644
4,"Filmnegative, Ordner 892 Nobelpreisträger",1185,3561
4,"Dix, Otto",5055,3170
4,"Morgenstern, Barbara (Fotograf)",671,2968
4,"Bibliothek der Universität Konstanz,",448,2948
4,"Richter, Ursula (Fotograf)",69,2906
4,Bildarchiv Foto Marburg (Marburg),420,2871
4,Domänenkanzlei,131,2831
4,"Nachlass Schrade, Christian",1064,2558
4,"Trumpold, Heidrun (Fotograf)",4900,2446
4,Verlag A. und R. Adam (Fotograf),1399,2433
4,Spruchkammer Südbaden,345,2425
4,Peter Gauhe,254,2408
4,"Merkler, Erich, Grosselfingen",1055,2253
4,"Richter, Regine (Fotograf)",61,2252
4,"Filmnegative, Ordner 491 Deutsche Bundesbahn",368,2247
4,Reichsbahndirektion Karlsruhe,2492,2239
4,SWR 4,2038,2198
4,Finanzministerium Württemberg-Hohenzollern,268,2135
4,"Helbig, Konrad (Fotograf)",544,2099
4,Staatskanzlei Württemberg-Hohenzollern,3537,2023
4,Alexej von Assaulenko-Kulturstiftung,715,2001
4,"Assaulenko, Alexej von",716,2001
4,"Universitätsbibliothek der Universität Heidelberg,",70,1974
4,Landesgewerbeamt Direktion Karlsruhe,1728,1943
4,"Heyde, Gerhard (Fotograf)",1072,1910
4,"Filmnegative, Ordner 156 Freiburg 1970",1951,1839
4,"Wurst, Werner (Fotograf)",14,1827
4,VEB Möbelkombinat Dresden-Hellerau,165,1810
4,"Filmnegative, Ordner 144 Schwarzwald Winter I+II",1223,1742
4,Finanzministerium Freiburg,500,1724
4,"Filmnegative, Ordner 0029 Berlin 1960",2315,1699
4,Regierungspräsidium Karlsruhe,46,1694
4,"Filmnegative, Ordner 151 (Freiburg 1956)",1282,1691
4,"Gerig, Uwe (Fotograf)",161,1678
4,"Filmnegative, Ordner 142 (Schwarzwald)",321,1665
4,Wasserwirtschaftsamt Buchen,853,1648
4,"Math. Forschungsinst.,",1001,1646
4,"Nessler, Walter",57,1641
4,"Filmnegative, Ordner 1884 Bauen Freiburg",5991,1596
4,Forum für Nachlässe von Künstlerinnen und Künstlern e.V.,2214,1579
4,"Filmnegative, Ordner 95 Bodensee",589,1516
4,"Wagner, Richard",1935,1479
4,"Filmnegative, Ordner 981 Freiburger Fasnet 1936",7765,1452
4,Präsidialabteilung,3553,1448
4,"Filmnegative, Ordner 738 Regierungspräsidium 2",514,1436
4,"Richter, Etha",2533,1428
4,"Filmnegative, Ordner 0741 850 Jahre Freiburg",28,1412
4,"Filmnegative, Ordner 290 (1941 - 1944)",1698,1390
4,Forstamt Buchen,898,1389
4,"Filmnegative, Ordner 933 Schulen",768,1348
4,Universitätsmuseum für Kunst und Kulturgeschichte (Marburg),1416,1339
4,Generaldirektion der Bad. Staatseisenbahnen Karlsruhe,1514,1328
4,"Danigel, Gerd (Fotograf)",1956,1321
4,"Filmnegative, Ordner 583 Donaueschinger Musiktage",491,1318
4,"Seifert, Else (Fotograf)",314,1313
4,"Filmnegative, Ordner 0735 Persönlichkeiten",770,1308
4,Vandenhoeck & Ruprecht,381,1305
4,"Filmnegative, Ordner 147 Kaiserstuhl",2757,1285
4,"Filmnegative, Ordner 140 Freudenstadt",751,1283
4,"Filmnegative, Ordner 737 Landesregierung",8633,1282
4,"Ahlers, Henrik (Fotograf)",119,1269
4,"Filmnegative, Ordner 749 CD",9431,1268
4,S 4,4973,1267
4,"Filmnegative, Ordner 739 Internationale Begegnungen",6615,1264
4,Oberamt/Landratsamt Sigmaringen,1859,1258
4,"Filmnegative, Ordner 507 Autosport",1945,1251
4,"Bregulla, Siegfried (Fotograf)",797,1240
4,"Reinecke, Hans (Fotograf)",11,1229
4,"Teufel, Erwin; Politiker, Ministerpräsident von Baden-Württemberg, 1939-",691,1210
4,"Filmnegative, Ordner 145 Lahr",6427,1203
5,Preußische Regierung Sigmaringen,326,3266
5,"Nachlass Schrade, Christian",1064,2550
5,Domänenkanzlei,131,1646
5,"Dehmel, Richard",1714,1119
5,Unbekannter Fotograf (Fotograf),585,1107
5,Oberamt/Landratsamt Sigmaringen,1859,1026
5,Generaldirektion der Bad. Staatseisenbahnen Karlsruhe,1514,973
5,"Schumacher, Klaus-Dieter (Fotograf)",32,787
5,Technoseum,755,662
5,Saarländisches Schulmuseum Ottweiler,835,636
5,Leopold Adler,7885,571
5,"Lübeck, Oswald (Fotograf)",974,564
5,Bundesbahndirektion Karlsruhe,205,562
5,Ministerium der auswärtigen Angelegenheiten,221,539
5,Ministerium der Auswärtigen Angelegenheiten,6561,518
5,Landesaufnahme Preussen,9003,517
5,Nachlaß Herzog Wilhelm II. von Urach,1634,507
5,"Thiersch, Friedrich von",7153,486
5,Reichsbahndirektion Karlsruhe,2492,472
5,"Fischer, Theodor",4938,448
5,Wasserwirtschaftsamt Buchen,853,432
5,Frisörmuseum,4314,421
5,Heimatmuseum Quierschied,7572,401
5,Kurverwaltung Bad Nauheim,251,386
5,Museumsberg Flensburg,2832,372
5,Ministerium des Innern; Adelsmatrikelkommission,2057,368
5,Messbildstelle Dresden (Fotograf),195,342
5,Forstamt Mosbach,1446,328
5,LRA Lörrach,22157,326
5,Oskar Netoliczka,1727,308
5,Forstamt Wiesloch,4358,287
5,Forstamt Buchen,898,286
5,Landgericht Offenburg,14507,286
5,"Straube, Stefan (Fotograf)",365,279
5,"Varnbüler von und zu Hemmingen, Axel Freiherr; württembergischer Diplomat, 1851-1937",1338,279
5,Zentralstelle für Gewerbe und Handel in Stuttgart (1848-1920),2831,272
5,HzL,25743,271
5,Forstamt Wertheim,11300,270
5,Forstamt Eppingen,11622,268
5,"Reinecke, Hans (Fotograf)",11,267
5,Verlag A. und R. Adam (Fotograf),1399,267
5,Forstamt Weinheim,3807,262
5,Forstamt Gerlachsheim,2725,262
5,Preußische Regierung,3469,258
5,Forstamt Gernsbach,3237,257
5,Statistisches Landesamt,7000,254
5,Forstamt Sinsheim,8509,254
5,Forstamt Stein,1896,241
5,Rentamt Wertheim,8955,231
5,Museumshof Lensahn,1876,228
5,"Richter, Regine (Fotograf)",61,227
5,"Meicht, Konrad",10371,225
5,Forstamt Eberbach,5269,221
5,Bildarchiv Foto Marburg (Marburg),420,215
5,Forstamt Mittelberg,10181,214
5,"Paul, Carl (Fotograf)",36244,214
5,Museen im Kulturzentrum,6336,212
5,Preußisches Staatshochbauamt Sigmaringen (Provenienzen Registraturbildner),1684,210
5,Forstamt Tauberbischofsheim,7609,210
5,"Bregulla, Siegfried (Fotograf)",797,209
5,"Feuerriegel, Kurt",6031,207
5,Teubner,266,205
5,"Wallot, Paul",6678,203
5,"Feuerriegel?, Kurt",13169,202
5,"Avenarius, Ferdinand (1856 - 1923)",19000,201
5,Landgericht Konstanz,10210,199
5,Oberamt Gammertingen/Landratsamt Sigmaringen,14964,198
5,Bezirksamt Eberbach,3715,196
5,Saarländisches Uhrenmuseum,3092,191
5,"Schilling, Rudolf",6009,190
5,"Gräbner, Julius Wilhelm",6010,186
5,Forstamt Langensteinbach,2460,184
5,Unbekannt,7886,184
5,Oberamt Tübingen,7168,176
5,"Baden, Friedrich I. Großherzog von",1191,175
5,Forstamt Neckarbischofsheim,15552,174
5,Landratsamt Mosbach,8518,168
5,"Rous, André (Fotograf)",2,165
5,Hessisches Staatsarchiv (Marburg),1054,164
5,Forstamt Schwetzingen,3808,159
5,"Varnbüler von und zu Hemmingen, Theodor Maria Julius Ernst Albert Alfred Axel Freiherr von",1339,156
5,"Krause, Siegfried (Fotograf)",1434,155
5,Universitätsmuseum für Kunst und Kulturgeschichte (Marburg),1416,155
5,Landratsamt Buchen,29,155
5,Forstamt Ettlingen,4003,148
5,Dorfmuseum Schönwalde,5819,147
5,Forstamt Walldürn,1633,146
5,Justizministerium und Nebenstelle Justizministerium Württemberg-Baden,8764,146
5,"Wagner, Richard",1935,140
5,"Verdi, Giuseppe",84,140
5,"Ahlers, Henrik (Fotograf)",119,138
5,Sächsisches Staatsministerium für Wissenschaft und Kunst,3643,136
5,Sylter Heimatmuseum,1062,136
5,"Schinkel, Karl Friedrich",8354,135
5,Stormarnsches Dorfmuseum,22623,133
5,Dithmarscher Landesmuseum,653,132
5,Forstamt Forbach I,7660,129
5,"Baden, Luise; Großherzogin, 1838 - 1923",10996,128
5,"Christiansen, Hans",8412,128
5,Landgericht Freiburg,5594,126
6,"Lübeck, Oswald (Fotograf)",974,3138
6,Preußische Regierung Sigmaringen,326,2861
6,Unbekannter Fotograf (Fotograf),585,1799
6,Domänenkanzlei,131,1360
6,Verlag A. und R. Adam (Fotograf),1399,1120
6,Oberamt/Landratsamt Sigmaringen,1859,998
6,Technoseum,755,843
6,Zentralstelle für Gewerbe und Handel in Stuttgart (1848-1920),2831,824
6,Reichsbahndirektion Karlsruhe,2492,805
6,Bundesbahndirektion Karlsruhe,205,692
6,Bildarchiv Foto Marburg (Marburg),420,640
6,Saarländisches Schulmuseum Ottweiler,835,608
6,Generaldirektion der Bad. Staatseisenbahnen Karlsruhe,1514,601
6,Leopold Adler,7885,571
6,Nachlaß Herzog Wilhelm II. von Urach,1634,555
6,Industriemuseum Elmshorn,3176,544
6,"C. &amp; E. Carstens, Elmshorner Steingutfabrik",3175,543
6,"Fischer, Theodor",4938,488
6,Ministerium der auswärtigen Angelegenheiten,221,457
6,Wasserwirtschaftsamt Buchen,853,454
6,Forstamt Buchen,898,406
6,Ministerium der Auswärtigen Angelegenheiten,6561,386
6,LRA Lörrach,22157,370
6,"Meicht, Konrad",10371,361
6,"Dix, Otto",5055,354
6,Forstamt Mosbach,1446,345
6,Preußische Regierung,3469,334
6,Oskar Netoliczka,1727,308
6,private Sammlung (Berlin),5155,305
6,Ministerium des Innern; Adelsmatrikelkommission,2057,301
6,Sanitätsamt XIV. A.K. (Krieg),867,294
6,"Bauer, Edwin (Fotograf)",10399,290
6,"Schumacher, Klaus-Dieter (Fotograf)",32,287
6,Forstamt Wertheim,11300,274
6,Pinneberg Museum,670,270
6,"Görbing, Johannes",1795,270
6,Forstamt Sinsheim,8509,269
6,Forstamt Eppingen,11622,268
6,"Varnbüler von und zu Hemmingen, Axel Freiherr; württembergischer Diplomat, 1851-1937",1338,263
6,Forstamt Wiesloch,4358,259
6,Forstamt Gerlachsheim,2725,253
6,Teubner,266,240
6,Forstamt Stein,1896,239
6,Oberamt Gammertingen/Landratsamt Sigmaringen,14964,237
6,Forstamt Gernsbach,3237,233
6,Forstamt Weinheim,3807,229
6,Landratsamt Buchen,29,227
6,"Avenarius, Ferdinand (1856 - 1923)",19000,221
6,Forstamt Eberbach,5269,217
6,"Teufel, Carl",14931,217
6,HzL,25743,216
6,Rentamt Wertheim,8955,208
6,Landgericht Konstanz,10210,206
6,Forstamt Mittelberg,10181,204
6,Forstamt Tauberbischofsheim,7609,197
6,Universitätsmuseum für Kunst und Kulturgeschichte (Marburg),1416,194
6,"Verdi, Giuseppe",84,193
6,Oberamt Tübingen,7168,192
6,Landratsamt Mosbach,8518,192
6,Forstamt Langensteinbach,2460,190
6,Forstamt Schwetzingen,3808,183
6,"Wagner, Richard",1935,181
6,Forstamt Neckarbischofsheim,15552,181
6,Bezirksamt Eberbach,3715,180
6,"Pechstein, Max",9333,175
6,E. Albicker,2395,170
6,"Nachlass Schrade, Christian",1064,170
6,Messbildstelle Dresden (Fotograf),195,161
6,"Rumpf, Karl",1053,160
6,"Varnbüler von und zu Hemmingen, Theodor Maria Julius Ernst Albert Alfred Axel Freiherr von",1339,160
6,Justizministerium und Nebenstelle Justizministerium Württemberg-Baden,8764,157
